開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2019-10-03,2019-12-12,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2019年10月3日 - 12月12日,東京都,
2019-10-03,2019-12-12,放送,BS11,,木曜 23:30 - 金曜 0:00,2019年10月3日 - 12月12日,日本全域,BS放送 / 『ANIME+』枠
2019-10-04,2019-12-13,放送,KBS京都,,金曜 1:30 - 2:00（木曜深夜）,2019年10月4日 - 12月13日,京都府,
2019-10-04,2019-12-13,放送,サンテレビ,,金曜 1:30 - 2:00（木曜深夜）,2019年10月4日 - 12月13日,兵庫県,
2019-10-04,2019-12-13,放送,AT-X,,金曜 22:00 - 22:30,2019年10月4日 - 12月13日,日本全域,CS放送 / リピート放送あり
2019-10-04,,配信,,dアニメストア,金曜 18:00 更新,2019年10月4日,,
2019-10-07,,配信,,AbemaTV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,GYAO!,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,Amazonプライム・ビデオ,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,dTV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,FOD,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,Hulu,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,J:COMオンデマンド,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,milplus,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,アニメ放題,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,U-NEXT,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,niconico,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,バンダイチャンネル,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,ひかりTV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,Google Play,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,YouTube,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,HAPPY!動画,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,Rakuten TV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,TSUTAYA TV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,VIDEX,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,ゲオTV,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,ビデオマーケット,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,DMM.com,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,GYAO!ストア,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,あにてれ,月曜 12:00以降 更新,2019年10月7日,,
2019-10-07,,配信,,ふらっと動画,月曜 12:00以降 更新,2019年10月7日,,
2019-10-08,,配信,,ニコニコ生放送,火曜 23:30 - 水曜 0:00,2019年10月8日,,
2019-10-10,,配信,,PlayStation Video,木曜 0:00以降 更新,2019年10月10日,,
2020-03-13,2020-03-20,放送,TOKYO MX,,金曜 22:00 - 22:30,2020年3月13日 - 3月20日,東京都,
2020-03-13,2020-03-20,放送,KBS京都,,金曜 22:30 - 23:00,2020年3月13日 - 3月20日,京都府,
2020-03-13,2020-03-20,放送,サンテレビ,,金曜 23:00 - 23:30,2020年3月13日 - 3月20日,兵庫県,
2020-03-13,2020-03-20,放送,BS11,,金曜 23:00 - 23:30,2020年3月13日 - 3月20日,日本全域,BS放送 / 『ANIME+』枠
2020-03-21,,放送,AT-X,,土曜 1:00 - 2:00（金曜深夜）,2020年3月21日,日本全域,2話連続放送 / CS放送 / リピート放送あり
2021-01-11,,放送,TOKYO MX,,25:00～,1月11日（月） 25:00～
2021-01-11,,放送,BS11,,25:00～,1月11日（月） 25:00～
2021-01-13,,放送,AT-X,,23:10～,1月13日（水） 23:10～
2021-01-13,,配信,,dアニメストア,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,U-NEXT,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,アニメ放題,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,Hulu,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,バンダイチャンネル,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,ひかりTV,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,ニコニコ動画,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,FOD,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,Amazon,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,Rakuten TV,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,ビデオマーケット,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,DMM.com,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,GYAOストア,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,GYAO!,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,あにてれ,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,TSUTAYA TV,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,ABEMA,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,J:COMオンデマンド,0:00以降,2021年1月13日(水) 0:00以降
2021-01-13,,配信,,TELASA,0:00以降,2021年1月13日(水) 0:00以降
